iter	Passed	Remaining
0	0	87
1	2	99
2	2	96
3	3	93
4	5	96
5	6	95
6	7	97
7	8	96
8	9	95
9	10	93
10	11	91
11	12	89
12	12	86
13	13	84
14	14	83
15	15	81
16	16	80
17	17	78
18	18	77
19	19	76
20	19	74
21	20	72
22	21	71
23	22	70
24	23	69
25	23	68
26	24	66
27	25	65
28	26	64
29	26	62
30	27	61
31	28	60
32	29	59
33	30	58
34	30	57
35	31	56
36	32	55
37	33	54
38	33	53
39	34	51
40	35	50
41	35	49
42	36	48
43	37	47
44	37	46
45	38	45
46	39	44
47	39	43
48	40	42
49	41	41
50	42	40
51	42	39
52	43	38
53	44	37
54	44	36
55	45	35
56	46	34
57	47	34
58	48	33
59	48	32
60	49	31
61	50	31
62	51	30
63	52	29
64	53	28
65	54	27
66	54	27
67	55	26
68	56	25
69	57	24
70	57	23
71	58	22
72	59	22
73	60	21
74	61	20
75	61	19
76	62	18
77	63	17
78	64	17
79	64	16
80	65	15
81	66	14
82	67	13
83	67	12
84	68	12
85	69	11
86	70	10
87	71	9
88	71	8
89	72	8
90	73	7
91	74	6
92	75	5
93	75	4
94	76	4
95	77	3
96	78	2
97	78	1
98	79	0
99	80	0
