iter	Passed	Remaining
0	127	127277
1	128	64136
2	130	43373
3	132	32895
4	134	26758
5	136	22567
6	138	19616
7	141	17519
8	143	15847
9	146	14461
10	147	13293
11	150	12361
12	151	11478
13	152	10772
14	155	10205
15	158	9750
16	161	9343
17	163	8941
18	165	8555
19	167	8230
20	170	7935
21	172	7659
22	173	7390
23	175	7144
24	177	6936
25	179	6721
26	180	6518
27	182	6341
28	184	6178
29	186	6017
30	187	5868
31	189	5717
32	190	5571
33	191	5431
34	192	5320
35	193	5192
36	194	5069
37	196	4966
38	197	4869
39	198	4770
40	199	4668
41	200	4568
42	201	4480
43	202	4397
44	203	4312
45	204	4231
46	204	4153
47	205	4079
48	206	4007
49	207	3938
50	208	3876
51	209	3815
52	210	3761
53	211	3709
54	212	3654
55	213	3599
56	214	3544
57	214	3491
58	215	3438
59	216	3389
60	217	3341
61	218	3305
62	219	3260
63	219	3217
64	220	3174
65	221	3132
66	222	3093
67	222	3053
68	223	3014
69	224	2976
70	224	2942
71	225	2909
72	226	2880
73	228	2853
74	228	2822
75	229	2790
76	230	2758
77	230	2728
78	231	2698
79	232	2677
80	233	2649
81	234	2622
82	234	2591
83	235	2565
84	235	2539
85	236	2515
86	237	2491
87	238	2467
88	239	2451
89	240	2430
90	241	2410
91	242	2392
92	243	2370
93	243	2348
94	244	2327
95	244	2306
96	245	2286
97	246	2273
98	247	2254
99	248	2235
100	249	2216
101	249	2198
102	250	2180
103	251	2163
104	251	2147
105	252	2130
106	254	2120
107	254	2104
108	255	2090
109	256	2075
110	257	2063
111	258	2049
112	259	2034
113	260	2020
114	260	2007
115	261	1994
116	262	1979
117	262	1965
118	263	1951
119	264	1937
120	264	1924
121	265	1910
122	266	1897
123	267	1887
124	267	1874
125	268	1862
126	268	1849
127	269	1837
128	270	1827
129	271	1818
130	272	1807
131	273	1795
132	274	1787
133	274	1776
134	275	1765
135	276	1754
136	276	1743
137	277	1733
138	278	1722
139	278	1712
140	279	1702
141	279	1691
142	280	1681
143	281	1672
144	282	1663
145	282	1653
146	283	1644
147	283	1634
148	284	1626
149	285	1620
150	286	1613
151	287	1605
152	288	1596
153	289	1588
154	289	1580
155	290	1572
156	291	1564
157	292	1556
158	292	1548
159	293	1540
160	293	1531
161	294	1524
162	295	1516
163	296	1509
164	296	1501
165	297	1494
166	298	1486
167	298	1480
168	299	1473
169	300	1466
170	301	1460
171	302	1454
172	302	1448
173	303	1442
174	304	1436
175	305	1429
176	306	1423
177	306	1416
178	307	1409
179	307	1402
180	309	1398
181	309	1392
182	310	1386
183	311	1379
184	311	1373
185	312	1367
186	313	1361
187	313	1355
188	314	1350
189	315	1344
190	316	1340
191	317	1335
192	318	1331
193	319	1325
194	319	1320
195	320	1314
196	321	1308
197	321	1303
198	322	1297
199	323	1292
200	323	1287
201	324	1281
202	325	1276
203	325	1271
204	326	1265
205	327	1260
206	327	1255
207	328	1250
208	329	1245
209	329	1240
210	330	1235
211	331	1231
212	332	1227
213	333	1223
214	333	1219
215	334	1214
216	335	1209
217	335	1205
218	336	1200
219	337	1198
220	338	1193
221	339	1189
222	339	1184
223	340	1180
224	341	1175
225	341	1171
226	342	1166
227	343	1162
228	344	1158
229	345	1155
230	345	1151
231	346	1147
232	347	1143
233	348	1140
234	349	1138
235	350	1134
236	351	1131
237	352	1127
238	352	1123
239	353	1119
240	354	1115
241	354	1111
242	355	1107
243	356	1103
244	356	1099
245	357	1095
246	358	1092
247	359	1088
248	359	1085
249	360	1081
250	361	1078
251	362	1075
252	363	1072
253	364	1069
254	364	1066
255	366	1063
256	366	1060
257	367	1057
258	368	1054
259	369	1050
260	370	1047
261	370	1044
262	372	1043
263	373	1040
264	374	1037
265	374	1034
266	375	1031
267	376	1028
268	377	1026
269	378	1024
270	379	1021
271	380	1018
272	381	1015
273	382	1012
274	382	1009
275	383	1006
276	384	1003
277	385	1000
278	386	997
279	386	994
280	387	992
281	388	989
282	389	986
283	390	983
284	391	981
285	392	980
286	393	977
287	394	974
288	394	971
289	395	968
290	396	965
291	397	963
292	397	960
293	398	957
294	399	954
295	400	952
296	401	949
297	402	947
298	403	946
299	404	943
300	406	943
301	407	940
302	407	938
303	408	935
304	409	932
305	410	930
306	410	927
307	411	925
308	412	922
309	413	920
310	414	917
311	414	914
312	415	912
313	416	909
314	417	907
315	418	905
316	419	902
317	419	900
318	421	898
319	422	896
320	422	894
321	423	892
322	424	889
323	425	887
324	426	884
325	426	882
326	427	880
327	428	877
328	429	875
329	430	873
330	431	871
331	431	869
332	433	867
333	434	865
334	435	864
335	436	862
336	437	861
337	438	859
338	439	857
339	440	854
340	441	852
341	441	849
342	442	847
343	443	846
344	445	845
345	446	843
346	446	841
347	448	839
348	449	837
349	450	836
350	451	835
351	452	833
352	453	831
353	454	829
354	455	827
355	456	825
356	457	823
357	457	821
358	458	819
359	459	817
360	460	815
361	461	813
362	462	811
363	463	809
364	464	807
365	465	806
366	466	804
367	467	802
368	468	800
369	469	798
370	469	796
371	470	794
372	471	793
373	472	791
374	473	789
375	474	786
376	474	784
377	475	782
378	476	780
379	477	778
380	478	777
381	479	775
382	480	774
383	481	772
384	482	770
385	483	768
386	483	766
387	484	764
388	485	762
389	486	760
390	487	758
391	488	756
392	488	755
393	489	753
394	490	751
395	491	749
396	492	747
397	493	746
398	494	745
399	496	744
400	496	742
401	497	740
402	498	738
403	499	736
404	499	734
405	500	732
406	501	730
407	502	728
408	503	727
409	503	725
410	504	723
411	505	721
412	506	720
413	508	719
414	509	718
415	510	716
416	511	715
417	512	713
418	512	711
419	514	710
420	515	708
421	516	707
422	517	705
423	517	703
424	518	701
425	519	699
426	520	697
427	520	696
428	521	694
429	522	692
430	524	692
431	525	691
432	526	689
433	528	688
434	529	687
435	530	685
436	530	684
437	531	682
438	533	681
439	533	679
440	535	678
441	535	676
442	536	674
443	537	673
444	538	671
445	539	670
446	541	669
447	542	668
448	542	666
449	543	664
450	544	662
451	545	661
452	546	659
453	547	657
454	547	656
455	549	655
456	550	654
457	551	652
458	552	650
459	552	648
460	553	647
461	554	646
462	556	645
463	557	643
464	558	642
465	559	641
466	560	639
467	561	637
468	561	636
469	562	634
470	564	633
471	565	632
472	566	630
473	566	629
474	567	627
475	568	626
476	569	624
477	571	623
478	573	623
479	574	621
480	575	620
481	575	618
482	577	617
483	577	616
484	578	614
485	579	612
486	580	611
487	581	609
488	581	608
489	582	606
490	583	604
491	585	604
492	587	603
493	588	602
494	589	601
495	590	599
496	590	598
497	591	596
498	592	595
499	593	593
500	594	592
501	595	590
502	596	589
503	597	588
504	598	587
505	600	585
506	601	585
507	603	584
508	605	583
509	605	582
510	606	580
511	607	579
512	608	577
513	609	576
514	610	574
515	612	574
516	613	572
517	614	571
518	615	570
519	617	569
520	618	569
521	620	567
522	621	566
523	621	564
524	622	563
525	623	561
526	624	560
527	625	559
528	626	557
529	627	556
530	628	555
531	629	553
532	632	554
533	633	553
534	634	551
535	635	550
536	636	548
537	637	547
538	638	545
539	639	544
540	639	542
541	640	541
542	641	540
543	642	538
544	644	537
545	646	537
546	648	536
547	649	535
548	650	534
549	651	532
550	652	531
551	653	530
552	654	528
553	655	527
554	655	525
555	656	524
556	657	522
557	658	521
558	659	520
559	660	519
560	662	518
561	663	517
562	664	515
563	665	514
564	666	513
565	667	512
566	668	510
567	669	509
568	670	507
569	671	506
570	671	504
571	672	503
572	674	502
573	675	501
574	677	500
575	678	499
576	679	498
577	680	497
578	681	495
579	682	494
580	683	492
581	684	491
582	685	490
583	687	489
584	688	488
585	689	487
586	691	486
587	693	485
588	694	484
589	695	483
590	696	481
591	697	480
592	698	479
593	699	477
594	699	476
595	700	475
596	701	473
597	702	472
598	703	471
599	705	470
600	707	469
601	708	468
602	709	466
603	710	465
604	710	464
605	711	462
606	712	461
607	713	460
608	714	458
609	715	457
610	716	455
611	716	454
612	717	453
613	719	452
614	720	451
615	722	450
616	723	448
617	724	447
618	724	446
619	725	444
620	726	443
621	727	441
622	728	440
623	729	439
624	729	437
625	730	436
626	731	435
627	732	434
628	733	432
629	735	432
630	737	431
631	738	430
632	739	428
633	740	427
634	742	426
635	743	425
636	743	423
637	744	422
638	745	421
639	746	419
640	747	418
641	748	417
642	750	416
643	752	415
644	753	414
645	753	413
646	754	411
647	755	410
648	756	409
649	757	407
650	758	406
651	759	405
652	760	404
653	761	403
654	764	402
655	765	401
656	766	400
657	767	398
658	768	397
659	769	396
660	770	394
661	771	393
662	772	392
663	772	391
664	774	390
665	775	388
666	776	387
667	778	386
